#639-3	#639-3-macrolanguage	#Name3-macrolanguage	#639-3-alias
kok	knn	Konkani (individual language)
kom	koi	Komi-Permyak
kom	kpv	Komi-Zyrian
kon	kng	Koongo
kon	kwy	San Salvador Kongo
kon	ldi	Laari
kpe	gkp	Guinea Kpelle
kpe	xpe	Liberia Kpelle
kur	ckb	Central Kurdish
kur	kmr	Northern Kurdish
kur	sdh	Southern Kurdish
lah	hnd	Southern Hindko
lah	hno	Northern Hindko
lah	jat	Jakati
lah	phr	Pahari-Potwari
lah	pnb	Western Panjabi
lah	skr	Saraiki
lah	xhe	Khetrani
lah	pmu	Mirpur Panjabi	phr
lav	ltg	Latgalian
lav	lvs	Standard Latvian
luy	bxk	Bukusu
luy	ida	Idakho-Isukha-Tiriki
luy	lkb	Kabras
luy	lko	Khayo
luy	lks	Kisa
luy	lri	Marachi
luy	lrm	Marama
luy	lsm	Saamia
luy	lto	Tsotso
luy	lts	Tachoni
luy	lwg	Wanga
luy	nle	East Nyala
luy	nyd	Nyore
luy	rag	Logooli
man	emk	Eastern Maninkakan
man	mku	Konyanka Maninka
man	mlq	Western Maninkakan
man	mnk	Mandinka
man	msc	Sankaran Maninka
man	mwk	Kita Maninkakan
man	myq	Forest Maninka
mlg	bhr	Bara Malagasy
mlg	bmm	Northern Betsimisaraka Malagasy
mlg	bzc	Southern Betsimisaraka Malagasy
mlg	msh	Masikoro Malagasy
mlg	plt	Plateau Malagasy
mlg	skg	Sakalava Malagasy
mlg	tdx	Tandroy-Mahafaly Malagasy
mlg	tkg	Tesaka Malagasy
mlg	txy	Tanosy Malagasy
mlg	xmv	Antankarana Malagasy
mlg	xmw	Tsimihety Malagasy
mlg	bjq	Southern Betsimisaraka Malagasy
msa	khk	Halh Mongolian
msa	mvf	Peripheral Mongolian
msa	bjn	Banjar
msa	btj	Bacanese Malay
msa	bve	Berau Malay
msa	bvu	Bukit Malay
msa	coa	Cocos Islands Malay
msa	dup	Duano
msa	hji	Haji
msa	ind	Indonesian
msa	jak	Jakun
msa	jax	Jambi Malay
msa	kvb	Kubu
msa	kvr	Kerinci
msa	kxd	Brunei
msa	lce	Loncong
msa	lcf	Lubu
msa	liw	Col
msa	max	North Moluccan Malay
msa	meo	Kedah Malay
msa	mfa	Pattani Malay
msa	mfb	Bangka
msa	min	Minangkabau
msa	mqg	Kota Bangun Kutai Malay
msa	msi	Sabah Malay
msa	mui	Musi
msa	orn	Orang Kanaq
msa	ors	Orang Seletar
msa	pel	Pekal
msa	pse	Central Malay
msa	tmw	Temuan
msa	urk	Urak Lawoi'
msa	vkk	Kaur
msa	vkt	Tenggarong Kutai Malay
msa	xmm	Manado Malay
msa	zlm	Malay (individual language)
msa	zmi	Negeri Sembilan Malay
msa	zsm	Standard Malay
msa	mly	Malay (individual language)
msa	omy	Old Malay
mwr	dhd	Dhundari
mwr	mtr	Mewari
mwr	mve	Marwari (Pakistan)
mwr	rwr	Marwari (India)
mwr	swv	Shekhawati
mwr	wry	Merwari
nep	dty	Dotyali
nep	npi	Nepali (individual language)
nor	nno	Norwegian Nynorsk
nor	nob	Norwegian Bokmål
oji	ciw	Chippewa
oji	ojb	Northwestern Ojibwa
oji	ojc	Central Ojibwa
oji	ojg	Eastern Ojibwa
oji	ojs	Severn Ojibwa
oji	ojw	Western Ojibwa
oji	otw	Ottawa
oji	alq	Algonquin language
oji	pot	Potawatomi language
oji	crg	Michif language
ori	ory	Odia
ori	spv	Sambalpuri
orm	gax	Borana-Arsi-Guji Oromo
orm	gaz	West Central Oromo
orm	hae	Eastern Oromo
orm	orc	Orma
pus	pbt	Southern Pashto
pus	pbu	Northern Pashto
pus	pst	Central Pashto
que	qub	Huallaga Huánuco Quechua
que	qud	Calderón Highland Quichua
que	quf	Lambayeque Quechua
que	qug	Chimborazo Highland Quichua
que	quh	South Bolivian Quechua
que	quk	Chachapoyas Quechua
que	qul	North Bolivian Quechua
que	qup	Southern Pastaza Quechua
que	qur	Yanahuanca Pasco Quechua
que	qus	Santiago del Estero Quichua
que	quw	Tena Lowland Quichua
que	qux	Yauyos Quechua
que	quy	Ayacucho Quechua
que	quz	Cusco Quechua
que	qva	Ambo-Pasco Quechua
que	qvc	Cajamarca Quechua
que	qve	Eastern Apurímac Quechua
que	qvh	Huamalíes-Dos de Mayo Huánuco Quechua
que	qvi	Imbabura Highland Quichua
que	qvj	Loja Highland Quichua
que	qvl	Cajatambo North Lima Quechua
que	qvm	Margos-Yarowilca-Lauricocha Quechua
que	qvn	North Junín Quechua
que	qvo	Napo Lowland Quechua
que	qvp	Pacaraos Quechua
que	qvs	San Martín Quechua
que	qvw	Huaylla Wanca Quechua
que	qvz	Northern Pastaza Quichua
que	qwa	Corongo Ancash Quechua
que	qwc	Classical Quechua
que	qwh	Huaylas Ancash Quechua
que	qws	Sihuas Ancash Quechua
que	qxa	Chiquián Ancash Quechua
que	qxc	Chincha Quechua
que	qxh	Panao Huánuco Quechua
que	qxl	Salasaca Highland Quichua
que	qxn	Northern Conchucos Ancash Quechua
que	qxo	Southern Conchucos Ancash Quechua
que	qxp	Puno Quechua
que	qxr	Cañar Highland Quichua
que	qxt	Santa Ana de Tusi Pasco Quechua
que	qxu	Arequipa-La Unión Quechua
que	qxw	Jauja Wanca Quechua
que	cqu	Chilean Quechua	quh
raj	bgq	Bagri
raj	gda	Gade Lohar
raj	gju	Gujari
raj	hoj	Hadothi
raj	mup	Malvi
raj	wbr	Wagdi
rom	rmc	Carpathian Romani
rom	rmf	Kalo Finnish Romani
rom	rml	Baltic Romani
rom	rmn	Balkan Romani
rom	rmo	Sinte Romani
rom	rmw	Welsh Romani
rom	rmy	Vlax Romani
rom	emx	Erromintxela
rom	rge	Romano-Greek
rom	rmd	Traveller Danish
rom	rme	Angloromani
rom	rmg	Traveller Norwegian
rom	rmi	Lomavren
rom	rmr	Caló
rom	rmu	Tavringer Romani
rom	rsb	Romano-Serbian
sqi	aae	Arbëreshë Albanian
sqi	aat	Arvanitika Albanian
sqi	aln	Gheg Albanian
sqi	als	Tosk Albanian
srd	sdc	Sassarese Sardinian
srd	sdn	Gallurese Sardinian
srd	src	Logudorese Sardinian
srd	sro	Campidanese Sardinian
swa	swc	Congo Swahili
swa	swh	Swahili (individual language)
syr	aii	Assyrian Neo-Aramaic
syr	cld	Chaldean Neo-Aramaic
tmh	taq	Tamasheq
tmh	thv	Tahaggart Tamahaq
tmh	thz	Tayart Tamajeq
tmh	ttq	Tawallammat Tamajaq
uzb	uzn	Northern Uzbek
uzb	uzs	Southern Uzbek
yid	ydd	Eastern Yiddish
yid	yih	Western Yiddish
zap	zaa	Sierra de Juárez Zapotec
zap	zab	Western Tlacolula Valley Zapotec
zap	zac	Ocotlán Zapotec
zap	zad	Cajonos Zapotec
zap	zae	Yareni Zapotec
zap	zaf	Ayoquesco Zapotec
zap	zai	Isthmus Zapotec
zap	zam	Miahuatlán Zapotec
zap	zao	Ozolotepec Zapotec
zap	zaq	Aloápam Zapotec
zap	zar	Rincón Zapotec
zap	zas	Santo Domingo Albarradas Zapotec
zap	zat	Tabaa Zapotec
zap	zav	Yatzachi Zapotec
zap	zaw	Mitla Zapotec
zap	zax	Xadani Zapotec
zap	zca	Coatecas Altas Zapotec
zap	zcd	Las Delicias Zapotec
zap	zoo	Asunción Mixtepec Zapotec
zap	zpa	Lachiguiri Zapotec
zap	zpb	Yautepec Zapotec
zap	zpc	Choapan Zapotec
zap	zpd	Southeastern Ixtlán Zapotec
zap	zpe	Petapa Zapotec
zap	zpf	San Pedro Quiatoni Zapotec
zap	zpg	Guevea De Humboldt Zapotec
